Country,year,month,time,cases,rh,pr,tmmx,tmmn,si
Singapore,2017,1,1,327,82.1665,332.6819,29.9204,22.2634,
Singapore,2017,2,2,236,81.0394,262.3012,29.7815,22.2478,
Singapore,2017,3,3,164,80.4308,302.2125,30.2278,22.3701,
Singapore,2017,4,4,170,80.76,274.3551,30.6034,22.8019,
Singapore,2017,5,5,218,81.2305,252.7572,31.013,23.0922,
Singapore,2017,6,6,307,76.6422,142.413,30.8489,22.5165,
Singapore,2017,7,7,262,75.9262,187.2285,31.092,22.8833,
Singapore,2017,8,8,229,79.5975,274.5377,30.9472,21.7748,
Singapore,2017,9,9,200,79.7175,287.8087,30.0917,22.4009,
Singapore,2017,10,10,272,78.9317,252.6408,30.3351,22.5412,
Singapore,2017,11,11,179,83.7413,342.0917,30.0424,22.4692,
Singapore,2017,12,12,212,84.9396,386.0999,29.8997,22.3512,
Singapore,2018,1,1,267,84.9864,425.144,29.1034,21.7303,
Singapore,2018,2,2,165,81.1716,250.3521,29.8419,21.9875,
Singapore,2018,3,3,158,80.0293,283.0747,30.992,22.1007,
Singapore,2018,4,4,209,80.637,257.6328,31.6434,22.3425,
Singapore,2018,5,5,279,82.3321,278.3035,30.6904,22.9271,
Singapore,2018,6,6,278,73.4726,215.7652,30.6405,22.5511,
Singapore,2018,7,7,218,75.4074,168.6308,31.1257,22.7397,
Singapore,2018,8,8,261,74.8474,154.6356,31.1153,22.6893,
Singapore,2018,9,9,245,78.4839,225.9386,30.0674,22.1334,
Singapore,2018,10,10,275,82.2522,296.6704,29.9953,22.4111,
Singapore,2018,11,11,375,82.7296,305.3015,30.2415,22.8175,
Singapore,2018,12,12,582,83.6514,381.2211,30.5753,22.131,
Singapore,2019,1,1,974,80.3203,226.9476,30.5241,22.8525,
Singapore,2019,2,2,710,79.6203,141.8779,31.0214,23.1158,
Singapore,2019,3,3,496,75.8459,165.5023,31.6401,23.3131,
Singapore,2019,4,4,586,80.131,211.5256,32.0347,23.7121,
Singapore,2019,5,5,1420,79.9871,214.7661,32.026,23.723,
Singapore,2019,6,6,1923,79.005,290.1541,31.5418,23.2475,
Singapore,2019,7,7,2431,76.7875,142.6521,31.3266,22.8564,
Singapore,2019,8,8,2182,76.9961,137.5872,31.4577,23.0199,
Singapore,2019,9,9,1267,75.064,130.2627,31.5372,23.2146,
Singapore,2019,10,10,1101,81.8469,299.9283,30.8304,22.6884,
Singapore,2019,11,11,1405,81.3826,268.9514,30.8978,23.0812,
Singapore,2019,12,12,1181,85.3465,333.714,30.3495,22.7373,
Singapore,2020,1,1,1541,81.9516,221.8512,30.4735,23.0015,20.60645161
Singapore,2020,2,2,1584,79.4913,179.5535,30.6493,22.8949,29.40965517
Singapore,2020,3,3,1643,78.2035,242.0948,31.4556,23.2942,33.9616129
Singapore,2020,4,4,1560,79.3417,265.2234,31.5881,23.4033,69.25766667
Singapore,2020,5,5,2611,81.3135,276.6431,31.8322,23.7018,74.46290323
Singapore,2020,6,6,5342,80.2671,274.0681,30.9742,22.7891,60.063
Singapore,2020,7,7,7187,81.0692,290.9454,30.7309,22.4189,50.93
Singapore,2020,8,8,5906,76.0448,200.5968,31.2049,22.8829,50.93
Singapore,2020,9,9,3000,80.4776,325.3991,30.6236,22.3899,50.93
Singapore,2020,10,10,2380,79.7712,252.7841,30.6575,22.6299,45.37
Singapore,2020,11,11,1365,85.0258,370.261,30.3481,22.6321,45.37
Singapore,2020,12,12,964,84.5736,321.0585,30.0613,22.5956,47.88096774
Singapore,2021,1,1,721,84.9603,373.1716,29.4145,21.9425,50.93
Singapore,2021,2,2,575,79.1777,143.2395,30.1692,22.4148,50.93
Singapore,2021,3,3,578,78.6845,297.6984,30.7635,22.602,50.93
Singapore,2021,4,4,462,77.2687,236.0977,30.9669,22.7823,50.93
Singapore,2021,5,5,501,79.2167,313.7431,31.2374,23.1071,54.9283871
Singapore,2021,6,6,547,76.4849,219.5382,30.9664,22.7811,57.96
Singapore,2021,7,7,389,75.3149,180.7807,31.2019,22.8899,51.3564516
Singapore,2021,8,8,281,79.9378,327.0582,30.5979,22.2759,46.18580645
Singapore,2021,9,9,346,78.5207,296.7806,30.5625,22.3289,44.25533333
Singapore,2021,10,10,378,77.3428,251.5006,31.0194,22.992,46.1583871
Singapore,2021,11,11,230,81.0476,344.0707,30.3992,22.6833,42.85433333
Singapore,2021,12,12,287,81.5559,331.1386,30.1727,22.7071,42.78870968
Singapore,2022,1,1,657,80.1501,319.723,29.7576,22.316,44.90451613
Singapore,2022,2,2,760,78.8591,300.8188,29.9954,22.3362,44.69357143
Singapore,2022,3,3,1787,78.8991,321.8871,30.7881,22.7011,45.37741935
Singapore,2022,4,4,3468,78.7569,268.0557,30.9176,22.788,42.72933333
Singapore,2022,5,5,2046,75.9528,278.1554,31.3611,23.2721,28.41677419
Singapore,2022,6,6,5365,80.4983,278.3285,30.6303,22.5659,28.34733333
