record,Country,state,year,month,time,cases,X,Y,pop,direction,id,no,id_1,rh,pr,tmmx,tmmn,si
1,TH,Amnat Charoen,2017,1,1,1,104.7422193,15.89017971,378107,northeastern,16,0,1,76.22219612,1.971830986,30.91830986,19.0915493,
2,TH,Amnat Charoen,2017,2,2,3,104.7422193,15.89017971,378107,northeastern,16,0,1,65.94217897,7.309859155,32.98732394,18.45633803,
3,TH,Amnat Charoen,2017,3,3,2,104.7422193,15.89017971,378107,northeastern,16,0,1,73.41172898,71.85915493,34.85492958,22.68873239,
4,TH,Amnat Charoen,2017,4,4,2,104.7422193,15.89017971,378107,northeastern,16,0,1,79.58472475,97.23943662,35.15633803,24.01126761,
5,TH,Amnat Charoen,2017,5,5,4,104.7422193,15.89017971,378107,northeastern,16,0,1,84.98348859,250.6056338,33.44084507,24.5056338,
6,TH,Amnat Charoen,2017,6,6,34,104.7422193,15.89017971,378107,northeastern,16,0,1,84.71362595,260.2394366,32.47042254,24.46619718,
7,TH,Amnat Charoen,2017,7,7,29,104.7422193,15.89017971,378107,northeastern,16,0,1,84.90305189,409,30.6,24.26338028,
8,TH,Amnat Charoen,2017,8,8,2,104.7422193,15.89017971,378107,northeastern,16,0,1,84.55752553,265.028169,31.70704225,24.36338028,
9,TH,Amnat Charoen,2017,9,9,5,104.7422193,15.89017971,378107,northeastern,16,0,1,83.9838807,208.7887324,32.13380282,24.40704225,
10,TH,Amnat Charoen,2017,10,10,1,104.7422193,15.89017971,378107,northeastern,16,0,1,78.26917707,121.5070423,31.62535211,22.80985915,
11,TH,Amnat Charoen,2017,11,11,0,104.7422193,15.89017971,378107,northeastern,16,0,1,73.20542757,25.53521127,30.97323944,20.59859155,
12,TH,Amnat Charoen,2017,12,12,0,104.7422193,15.89017971,378107,northeastern,16,0,1,71.83184213,3.676056338,29.58873239,17.83661972,
13,TH,Amnat Charoen,2018,1,13,0,104.7422193,15.89017971,378621,northeastern,16,0,1,76.78697473,0.985915493,30.64366197,18.38591549,
14,TH,Amnat Charoen,2018,2,14,0,104.7422193,15.89017971,378621,northeastern,16,0,1,72.87780568,9.845070423,31.61971831,18.48028169,
15,TH,Amnat Charoen,2018,3,15,2,104.7422193,15.89017971,378621,northeastern,16,0,1,79.96552158,75.63380282,34.35633803,22.65492958,
16,TH,Amnat Charoen,2018,4,16,1,104.7422193,15.89017971,378621,northeastern,16,0,1,74.36120562,108.084507,34.48732394,23.74084507,
17,TH,Amnat Charoen,2018,5,17,9,104.7422193,15.89017971,378621,northeastern,16,0,1,79.59378084,155.5633803,33.64084507,23.97746479,
18,TH,Amnat Charoen,2018,6,18,37,104.7422193,15.89017971,378621,northeastern,16,0,1,81.37345499,231.3098592,32.27042254,24.3943662,
19,TH,Amnat Charoen,2018,7,19,20,104.7422193,15.89017971,378621,northeastern,16,0,1,83.40065422,243.5915493,31.10140845,24.29577465,
20,TH,Amnat Charoen,2018,8,20,23,104.7422193,15.89017971,378621,northeastern,16,0,1,81.07513009,286.1408451,30.60704225,24.03380282,
21,TH,Amnat Charoen,2018,9,21,16,104.7422193,15.89017971,378621,northeastern,16,0,1,82.30286902,185.6619718,31.73380282,23.93661972,
22,TH,Amnat Charoen,2018,10,22,11,104.7422193,15.89017971,378621,northeastern,16,0,1,73.75323153,60.97183099,32.82394366,22.78169014,
23,TH,Amnat Charoen,2018,11,23,1,104.7422193,15.89017971,378621,northeastern,16,0,1,73.63137194,10.84507042,32.31408451,20.7028169,
24,TH,Amnat Charoen,2018,12,24,0,104.7422193,15.89017971,378621,northeastern,16,0,1,73.49286727,1.338028169,31.78732394,19.7056338,
25,TH,Amnat Charoen,2019,1,25,9,104.7422193,15.89017971,378438,northeastern,16,0,1,66.17384387,0.295774648,32.67323944,18.48028169,
26,TH,Amnat Charoen,2019,2,26,2,104.7422193,15.89017971,378438,northeastern,16,0,1,70.39529193,7.154929577,35.78450704,21.94788732,
27,TH,Amnat Charoen,2019,3,27,6,104.7422193,15.89017971,378438,northeastern,16,0,1,68.07983012,17.88732394,37.04788732,24.04929577,
28,TH,Amnat Charoen,2019,4,28,9,104.7422193,15.89017971,378438,northeastern,16,0,1,77.00194367,59.15492958,37.47887324,25.83380282,
29,TH,Amnat Charoen,2019,5,29,58,104.7422193,15.89017971,378438,northeastern,16,0,1,80.62274535,213.6338028,35.00704225,25.21126761,
30,TH,Amnat Charoen,2019,6,30,48,104.7422193,15.89017971,378438,northeastern,16,0,1,79.09939178,119.1690141,34.23943662,26.03239437,
31,TH,Amnat Charoen,2019,7,31,28,104.7422193,15.89017971,378438,northeastern,16,0,1,81.51167448,182.1971831,32.85915493,25.19295775,
32,TH,Amnat Charoen,2019,8,32,24,104.7422193,15.89017971,378438,northeastern,16,0,1,85.33793705,490.7183099,31.70704225,24.33239437,
33,TH,Amnat Charoen,2019,9,33,66,104.7422193,15.89017971,378438,northeastern,16,0,1,78.29669899,331.4647887,31.62957746,24.1,
34,TH,Amnat Charoen,2019,10,34,47,104.7422193,15.89017971,378438,northeastern,16,0,1,76.2677176,43.52112676,32.82816901,23.88169014,
35,TH,Amnat Charoen,2019,11,35,21,104.7422193,15.89017971,378438,northeastern,16,0,1,69.19096686,8.802816901,31.61267606,20.43802817,
36,TH,Amnat Charoen,2019,12,36,1,104.7422193,15.89017971,378438,northeastern,16,0,1,66.06284284,0,30.73098592,17.87464789,
37,TH,Amnat Charoen,2020,1,37,0,104.7422193,15.89017971,376195,northeastern,16,0,1,63.60996596,2.14084507,32.68028169,18.65492958,0
38,TH,Amnat Charoen,2020,2,38,2,104.7422193,15.89017971,376195,northeastern,16,0,1,57.3882355,1,33.11971831,19.28450704,0
39,TH,Amnat Charoen,2020,3,39,4,104.7422193,15.89017971,376195,northeastern,16,0,1,71.4015922,30.04225352,36.54084507,23.57464789,35.90258065
40,TH,Amnat Charoen,2020,4,40,1,104.7422193,15.89017971,376195,northeastern,16,0,1,78.99876963,38.88732394,35.63380282,23.89014085,76.264
41,TH,Amnat Charoen,2020,5,41,13,104.7422193,15.89017971,376195,northeastern,16,0,1,77.40545418,139.5492958,36.20985915,26.44507042,75
42,TH,Amnat Charoen,2020,6,42,18,104.7422193,15.89017971,376195,northeastern,16,0,1,81.48084646,116.4225352,33.51126761,25.27605634,62.99333333
43,TH,Amnat Charoen,2020,7,43,27,104.7422193,15.89017971,376195,northeastern,16,0,1,85.99598554,157.0140845,33.03802817,25.33239437,52.78
44,TH,Amnat Charoen,2020,8,44,23,104.7422193,15.89017971,376195,northeastern,16,0,1,84.92246966,279.0140845,31.71267606,24.16901408,51.16580645
45,TH,Amnat Charoen,2020,9,45,9,104.7422193,15.89017971,376195,northeastern,16,0,1,86.9349722,309.2535211,32.34084507,24.74084507,47.776
46,TH,Amnat Charoen,2020,10,46,3,104.7422193,15.89017971,376195,northeastern,16,0,1,82.94395329,347.3380282,30.13098592,21.15492958,47.22
47,TH,Amnat Charoen,2020,11,47,0,104.7422193,15.89017971,376195,northeastern,16,0,1,66.90100947,12.92957746,31.21549296,19.97183099,48.054
48,TH,Amnat Charoen,2020,12,48,0,104.7422193,15.89017971,376195,northeastern,16,0,1,70.46447174,0.014084507,29.76056338,16.97464789,54.92870968
49,TH,Amnat Charoen,2021,1,49,0,104.7422193,15.89017971,376195,northeastern,16,0,1,66.29394521,0,28.88450704,14.86056338,59.31967742
50,TH,Amnat Charoen,2021,2,50,0,104.7422193,15.89017971,376195,northeastern,16,0,1,51.22072198,11.78873239,31.99295775,18.32394366,49.30642857
51,TH,Amnat Charoen,2021,3,51,0,104.7422193,15.89017971,376195,northeastern,16,0,1,73.16595061,16.53521127,35.77042254,22.8028169,47.22
52,TH,Amnat Charoen,2021,4,52,2,104.7422193,15.89017971,376195,northeastern,16,0,1,79.83644867,91.77464789,35.5915493,23.91690141,51.60333333
53,TH,Amnat Charoen,2021,5,53,3,104.7422193,15.89017971,376195,northeastern,16,0,1,81.47340092,108.3239437,35.17183099,25.47605634,59.26
54,TH,Amnat Charoen,2021,6,54,0,104.7422193,15.89017971,376195,northeastern,16,0,1,80.46946007,152.4507042,33.26760563,25.03098592,56.10933333
55,TH,Amnat Charoen,2021,7,55,0,104.7422193,15.89017971,376195,northeastern,16,0,1,84.43506171,302.1549296,32.42394366,24.75774648,59.31806452
56,TH,Amnat Charoen,2021,8,56,5,104.7422193,15.89017971,376195,northeastern,16,0,1,84.49964217,140.3380282,32.74084507,25.1971831,73.22322581
57,TH,Amnat Charoen,2021,9,57,0,104.7422193,15.89017971,376195,northeastern,16,0,1,87.24317545,375.4788732,31.46901408,23.87042254,55.09
58,TH,Amnat Charoen,2021,10,58,0,104.7422193,15.89017971,376195,northeastern,16,0,1,81.46067918,187.4366197,31.52535211,22.48028169,56.64580645
59,TH,Amnat Charoen,2021,11,59,0,104.7422193,15.89017971,376195,northeastern,16,0,1,71.23792643,4.816901408,31.21549296,19.97042254,58.306
60,TH,Amnat Charoen,2021,12,60,0,104.7422193,15.89017971,376195,northeastern,16,0,1,68.36210611,1.042253521,29.7943662,16.97746479,42.64
61,TH,Amnat Charoen,2022,1,61,0,104.7422193,15.89017971,376195,northeastern,16,0,1,65.54781282,2.690140845,31.98309859,18.19859155,41.35580645
62,TH,Amnat Charoen,2022,2,62,0,104.7422193,15.89017971,376195,northeastern,16,0,1,76.89514493,25.38028169,31.7028169,17.86619718,40.67714286
63,TH,Amnat Charoen,2022,3,63,0,104.7422193,15.89017971,376195,northeastern,16,0,1,77.40531889,66.32394366,35.52394366,22.62676056,43.06
64,TH,Amnat Charoen,2022,4,64,0,104.7422193,15.89017971,376195,northeastern,16,0,1,75.47075825,100.1267606,33.79014085,22.14647887,37.5
65,TH,Amnat Charoen,2022,5,65,0,104.7422193,15.89017971,376195,northeastern,16,0,1,84.27534356,254.2957746,32.57746479,22.71408451,34.99064516
66,TH,Amnat Charoen,2022,6,66,1,104.7422193,15.89017971,376195,northeastern,16,0,1,78.1288883,157.3098592,33.28169014,25.07464789,28.48466667
