year_thailand,month_thailand,cases_thailand,pop_thailand,year_sg,month_sg,cases_sg,pop_sg,year_my,month_my,cases_my,pop_my
2017,1,1598,70898202,2017,1,327,5612253,2017,1,8113,31975806
2017,2,1229,70898202,2017,2,236,5612253,2017,2,7204,31975806
2017,3,1104,70898202,2017,3,164,5612253,2017,3,8124,31975806
2017,4,1174,70898202,2017,4,170,5612253,2017,4,8141,31975806
2017,5,2230,70898202,2017,5,218,5612253,2017,5,8956,31975806
2017,6,4411,70898202,2017,6,307,5612253,2017,6,8786,31975806
2017,7,5368,70898202,2017,7,262,5612253,2017,7,8671,31975806
2017,8,4812,70898202,2017,8,229,5612253,2017,8,7199,31975806
2017,9,3179,70898202,2017,9,200,5612253,2017,9,5098,31975806
2017,10,2584,70898202,2017,10,272,5612253,2017,10,4946,31975806
2017,11,2512,70898202,2017,11,179,5612253,2017,11,4228,31975806
2017,12,1742,70898202,2017,12,212,5612253,2017,12,4260,31975806
2018,1,1272,71127802,2018,1,267,5638676,2018,1,4872,32399271
2018,2,1183,71127802,2018,2,165,5638676,2018,2,4699,32399271
2018,3,1544,71127802,2018,3,158,5638676,2018,3,4937,32399271
2018,4,1790,71127802,2018,4,209,5638676,2018,4,4910,32399271
2018,5,4532,71127802,2018,5,279,5638676,2018,5,5415,32399271
2018,6,8765,71127802,2018,6,278,5638676,2018,6,7376,32399271
2018,7,9257,71127802,2018,7,218,5638676,2018,7,8820,32399271
2018,8,7976,71127802,2018,8,261,5638676,2018,8,8231,32399271
2018,9,5936,71127802,2018,9,245,5638676,2018,9,5903,32399271
2018,10,4712,71127802,2018,10,275,5638676,2018,10,6918,32399271
2018,11,4493,71127802,2018,11,375,5638676,2018,11,8149,32399271
2018,12,3616,71127802,2018,12,582,5638676,2018,12,10970,32399271
2019,1,3539,71307763,2019,1,974,5703569,2019,1,13809,32804020
2019,2,3184,71307763,2019,2,710,5703569,2019,2,11245,32804020
2019,3,3491,71307763,2019,3,496,5703569,2019,3,10748,32804020
2019,4,3189,71307763,2019,4,586,5703569,2019,4,7244,32804020
2019,5,5533,71307763,2019,5,1420,5703569,2019,5,8643,32804020
2019,6,12910,71307763,2019,6,1923,5703569,2019,6,10242,32804020
2019,7,15487,71307763,2019,7,2431,5703569,2019,7,14892,32804020
2019,8,12379,71307763,2019,8,2182,5703569,2019,8,13174,32804020
2019,9,9665,71307763,2019,9,1267,5703569,2019,9,10241,32804020
2019,10,8290,71307763,2019,10,1101,5703569,2019,10,8712,32804020
2019,11,6755,71307763,2019,11,1405,5703569,2019,11,9637,32804020
2019,12,2991,71307763,2019,12,1181,5703569,2019,12,11792,32804020
2020,1,2444,71475664,2020,1,1541,5685807,2020,1,13750,33199993
2020,2,1782,71475664,2020,2,1584,5685807,2020,2,11369,33199993
2020,3,1618,71475664,2020,3,1643,5685807,2020,3,8404,33199993
2020,4,2140,71475664,2020,4,1560,5685807,2020,4,5257,33199993
2020,5,4190,71475664,2020,5,2611,5685807,2020,5,6981,33199993
2020,6,6690,71475664,2020,6,5342,5685807,2020,6,8315,33199993
2020,7,11315,71475664,2020,7,7187,5685807,2020,7,9020,33199993
2020,8,9027,71475664,2020,8,5906,5685807,2020,8,7797,33199993
2020,9,5604,71475664,2020,9,3000,5685807,2020,9,5957,33199993
2020,10,2929,71475664,2020,10,2380,5685807,2020,10,4966,33199993
2020,11,2036,71475664,2020,11,1365,5685807,2020,11,3903,33199993
2020,12,1136,71475664,2020,12,964,5685807,2020,12,3469,33199993
2021,1,763,71601103,2021,1,721,5453566,2021,1,2983,33573874
2021,2,551,71601103,2021,2,575,5453566,2021,2,2296,33573874
2021,3,546,71601103,2021,3,578,5453566,2021,3,1734,33573874
2021,4,333,71601103,2021,4,462,5453566,2021,4,1974,33573874
2021,5,821,71601103,2021,5,501,5453566,2021,5,2048,33573874
2021,6,1208,71601103,2021,6,547,5453566,2021,6,2611,33573874
2021,7,792,71601103,2021,7,389,5453566,2021,7,2412,33573874
2021,8,737,71601103,2021,8,281,5453566,2021,8,1987,33573874
2021,9,625,71601103,2021,9,346,5453566,2021,9,1992,33573874
2021,10,544,71601103,2021,10,378,5453566,2021,10,2015,33573874
2021,11,523,71601103,2021,11,230,5453566,2021,11,1998,33573874
2021,12,335,71601103,2021,12,287,5453566,2021,12,2525,33573874
2022,1,375,71697030,2022,1,657,5637022,2022,1,3208,33938221
2022,2,284,71697030,2022,2,760,5637022,2022,2,2622,33938221
2022,3,357,71697030,2022,3,1787,5637022,2022,3,3010,33938221
2022,4,549,71697030,2022,4,3468,5637022,2022,4,4184,33938221
2022,5,1745,71697030,2022,5,2046,5637022,2022,5,4447,33938221
2022,6,4883,71697030,2022,6,5365,5637022,2022,6,6116,33938221
2022,7,5854,71697030,2022,7,4705,5637022,2022,7,7029,33938221
2022,8,4833,71697030,2022,8,3356,5637022,2022,8,6088,33938221
2022,9,4057,71697030,2022,9,2213,5637022,2022,9,5989,33938221
2022,10,4072,71697030,2022,10,1563,5637022,2022,10,6718,33938221
2022,11,4247,71697030,2022,11,1244,5637022,2022,11,7356,33938221
2022,12,3211,71697030,2022,12,1283,5637022,2022,12,8691,33938221
